Type;FSWP-8;
5.0118728638e+02;1.9387551460e-12;
5.0699063110e+02;1.9525455471e-12;
5.1286145020e+02;1.9683382528e-12;
5.1879992676e+02;1.9891720649e-12;
5.2480749512e+02;2.0158460404e-12;
5.3088433838e+02;2.0463943040e-12;
5.3703179932e+02;2.0772741166e-12;
5.4325018311e+02;2.1057062344e-12;
5.4954089355e+02;2.1302441148e-12;
5.5590411377e+02;2.1499405988e-12;
5.6234130859e+02;2.1657669148e-12;
5.6885308838e+02;2.1803951873e-12;
5.7543994141e+02;2.1961963498e-12;
5.8210333252e+02;2.2146282204e-12;
5.8884362793e+02;2.2360451164e-12;
5.9566229248e+02;2.2584015821e-12;
6.0255957031e+02;2.2786950278e-12;
6.0953698730e+02;2.2938365617e-12;
6.1659497070e+02;2.3061817213e-12;
6.2373492432e+02;2.3222502480e-12;
6.3095727539e+02;2.3466755882e-12;
6.3826361084e+02;2.3775586534e-12;
6.4565411377e+02;2.4092379567e-12;
6.5313061523e+02;2.4380569178e-12;
6.6069335938e+02;2.4648044022e-12;
6.6834399414e+02;2.4943727639e-12;
6.7608288574e+02;2.5279171117e-12;
6.8391168213e+02;2.5570069066e-12;
6.9183081055e+02;2.5834844247e-12;
6.9984204102e+02;2.6124107218e-12;
7.0794561768e+02;2.6463477677e-12;
7.1614343262e+02;2.6847948777e-12;
7.2443579102e+02;2.7275640514e-12;
7.3282452393e+02;2.7762234785e-12;
7.4131005859e+02;2.8277326227e-12;
7.4989422607e+02;2.8716703494e-12;
7.5857775879e+02;2.8955264835e-12;
7.6736145020e+02;2.9137092045e-12;
7.7624731445e+02;2.9154758035e-12;
7.8523559570e+02;2.9196449945e-12;
7.9432843018e+02;2.9418802464e-12;
8.0352606201e+02;2.9647779457e-12;
8.1283068848e+02;2.9939768113e-12;
8.2224255371e+02;3.0357023319e-12;
8.3176391602e+02;3.0922718813e-12;
8.4139501953e+02;3.1474013933e-12;
8.5113818359e+02;3.2052466150e-12;
8.6099365234e+02;3.2667093856e-12;
8.7096368408e+02;3.2959056491e-12;
8.8104876709e+02;3.2957881216e-12;
8.9125103760e+02;3.3080053453e-12;
9.0157098389e+02;3.3291366625e-12;
9.1201092529e+02;3.3386466335e-12;
9.2257122803e+02;3.3702116618e-12;
9.3325433350e+02;3.4470501540e-12;
9.4406066895e+02;3.5252436820e-12;
9.5499261475e+02;3.5691360891e-12;
9.6605065918e+02;3.6105469742e-12;
9.7723724365e+02;3.6451969915e-12;
9.8855285645e+02;3.6526107659e-12;
1.0000000000e+03;3.7063976020e-12;
1.0115797119e+03;3.7248494220e-12;
1.0232929688e+03;3.7475283293e-12;
1.0351424561e+03;3.7742864389e-12;
1.0471285400e+03;3.8109866825e-12;
1.0592539062e+03;3.8515757424e-12;
1.0715192871e+03;3.9008609710e-12;
1.0839271240e+03;3.9509133812e-12;
1.0964781494e+03;4.0017685346e-12;
1.1091750488e+03;4.0472764029e-12;
1.1220183105e+03;4.0905234928e-12;
1.1350109863e+03;4.1292086937e-12;
1.1481534424e+03;4.1696303528e-12;
1.1614487305e+03;4.2125864429e-12;
1.1748973389e+03;4.2656152048e-12;
1.1885023193e+03;4.3271835767e-12;
1.2022642822e+03;4.3951804002e-12;
1.2161861572e+03;4.4686906085e-12;
1.2302685547e+03;4.5385912910e-12;
1.2445146484e+03;4.6032760936e-12;
1.2589251709e+03;4.6562918452e-12;
1.2735031738e+03;4.6965153121e-12;
1.2882492676e+03;4.7319370644e-12;
1.3031667480e+03;4.7651795704e-12;
1.3182563477e+03;4.8059980474e-12;
1.3335214844e+03;4.8565179656e-12;
1.3489632568e+03;4.9138015705e-12;
1.3645831299e+03;4.9755100213e-12;
1.3803846436e+03;5.0354022167e-12;
1.3963682861e+03;5.0901912893e-12;
1.4125378418e+03;5.1412762936e-12;
1.4288939209e+03;5.1898329384e-12;
1.4454400635e+03;5.2375165836e-12;
1.4621770020e+03;5.2854266103e-12;
1.4791086426e+03;5.3337607768e-12;
1.4962354736e+03;5.3836388472e-12;
1.5135615234e+03;5.4371555001e-12;
1.5310872803e+03;5.4965814886e-12;
1.5488167725e+03;5.5631185422e-12;
1.5667508545e+03;5.6348866545e-12;
1.5848933105e+03;5.7049074666e-12;
1.6032451172e+03;5.7674503194e-12;
1.6218101807e+03;5.8236627326e-12;
1.6405894775e+03;5.8807884777e-12;
1.6595870361e+03;5.9474760186e-12;
1.6788035889e+03;6.0277876440e-12;
1.6982437744e+03;6.1189959349e-12;
1.7179079590e+03;6.2153797734e-12;
1.7378009033e+03;6.3141939594e-12;
1.7579230957e+03;6.4164489694e-12;
1.7782794189e+03;6.5094054279e-12;
1.7988713379e+03;6.6145786765e-12;
1.8197008057e+03;6.7083318067e-12;
1.8407724609e+03;6.7815809392e-12;
1.8620870361e+03;6.8201290969e-12;
1.8836495361e+03;6.8606782581e-12;
1.9054605713e+03;6.9321605747e-12;
1.9275252686e+03;7.0127796799e-12;
1.9498444824e+03;7.0927517332e-12;
1.9724230957e+03;7.1721821190e-12;
1.9952620850e+03;7.2635829643e-12;
2.0183666992e+03;7.3782108895e-12;
2.0417376709e+03;7.5098824728e-12;
2.0653803711e+03;7.6435559271e-12;
2.0892958984e+03;7.7305262886e-12;
2.1134892578e+03;7.8041488202e-12;
2.1379616699e+03;7.8801904238e-12;
2.1627187500e+03;7.9526029859e-12;
2.1877612305e+03;7.9976060496e-12;
2.2130949707e+03;8.0463656571e-12;
2.2387207031e+03;8.1240361660e-12;
2.2646442871e+03;8.2048473918e-12;
2.2908671875e+03;8.2716784811e-12;
2.3173947754e+03;8.3499882356e-12;
2.3442282715e+03;8.4525650368e-12;
2.3713737793e+03;8.5550542345e-12;
2.3988334961e+03;8.6297245391e-12;
2.4266101074e+03;8.6965113930e-12;
2.4547094727e+03;8.7392012030e-12;
2.4831330566e+03;8.8042047611e-12;
2.5118869629e+03;8.9548975873e-12;
2.5409726562e+03;9.1635440555e-12;
2.5703962402e+03;9.3428450740e-12;
2.6001594238e+03;9.4402523992e-12;
2.6302685547e+03;9.4760900515e-12;
2.6607248535e+03;9.5252477780e-12;
2.6915351562e+03;9.5922480028e-12;
2.7227009277e+03;9.6614539286e-12;
2.7542290039e+03;9.7935678664e-12;
2.7861208496e+03;1.0021624156e-11;
2.8183833008e+03;1.0276670140e-11;
2.8510178223e+03;1.0424869301e-11;
2.8840317383e+03;1.0458081449e-11;
2.9174265137e+03;1.0545488094e-11;
2.9512094727e+03;1.0737708465e-11;
2.9853820801e+03;1.0908473777e-11;
3.0199519043e+03;1.0778536917e-11;
3.0549204102e+03;1.0933396549e-11;
3.0902954102e+03;1.1092435998e-11;
3.1260786133e+03;1.1254697695e-11;
3.1622775879e+03;1.1423527055e-11;
3.1988959961e+03;1.1593832665e-11;
3.2359365234e+03;1.1764332564e-11;
3.2734077148e+03;1.1931672664e-11;
3.3113110352e+03;1.2095195505e-11;
3.3496550293e+03;1.2246262164e-11;
3.3884414062e+03;1.2392621651e-11;
3.4276784668e+03;1.2512815437e-11;
3.4673681641e+03;1.2627207439e-11;
3.5075192871e+03;1.2724210574e-11;
3.5481335449e+03;1.2822656999e-11;
3.5892199707e+03;1.2922510284e-11;
3.6307800293e+03;1.3044599255e-11;
3.6728234863e+03;1.3175210922e-11;
3.7153518066e+03;1.3320001352e-11;
3.7583745117e+03;1.3455304579e-11;
3.8018933105e+03;1.3583009717e-11;
3.8459182129e+03;1.3681136085e-11;
3.8904506836e+03;1.3777557220e-11;
3.9355009766e+03;1.3874727756e-11;
3.9810708008e+03;1.4013673902e-11;
4.0271704102e+03;1.4184323854e-11;
4.0738017578e+03;1.4382683412e-11;
4.1209750977e+03;1.4599316547e-11;
4.1686928711e+03;1.4800197526e-11;
4.2169648438e+03;1.4983944641e-11;
4.2657963867e+03;1.5139426171e-11;
4.3151904297e+03;1.5288518715e-11;
4.3651591797e+03;1.5457643845e-11;
4.4157041016e+03;1.5657745933e-11;
4.4668369141e+03;1.5910835149e-11;
4.5185590820e+03;1.6180400769e-11;
4.5708828125e+03;1.6422778068e-11;
4.6238095703e+03;1.6610952197e-11;
4.6773520508e+03;1.6716189197e-11;
4.7315122070e+03;1.6764778801e-11;
4.7863017578e+03;1.6843542186e-11;
4.8417231445e+03;1.6980774425e-11;
4.8977890625e+03;1.7178897194e-11;
4.9545009766e+03;1.7406093927e-11;
5.0118730469e+03;1.7597680257e-11;
5.0699062500e+03;1.7739070629e-11;
5.1286142578e+03;1.7872380659e-11;
5.1879995117e+03;1.8039632288e-11;
5.2480747070e+03;1.8264018770e-11;
5.3088432617e+03;1.8540976046e-11;
5.3703183594e+03;1.8847394131e-11;
5.4325019531e+03;1.9165176390e-11;
5.4954086914e+03;1.9488926098e-11;
5.5590410156e+03;1.9805714360e-11;
5.6234130859e+03;2.0095047154e-11;
5.6885307617e+03;2.0361674152e-11;
5.7543994141e+03;2.0637921927e-11;
5.8210336914e+03;2.0960667230e-11;
5.8884365234e+03;2.1340261155e-11;
5.9566225586e+03;2.1757772667e-11;
6.0255957031e+03;2.2049839385e-11;
6.0953701172e+03;2.2162724780e-11;
6.1659497070e+03;2.2123572072e-11;
6.2373496094e+03;2.2055733975e-11;
6.3095727539e+03;2.2084679571e-11;
6.3826357422e+03;2.2271471126e-11;
6.4565415039e+03;2.2616894468e-11;
6.5313061523e+03;2.3069969546e-11;
6.6069335938e+03;2.3524127091e-11;
6.6834399414e+03;2.3834680757e-11;
6.7608286133e+03;2.3990885667e-11;
6.8391171875e+03;2.4272238733e-11;
6.9183081055e+03;2.4653130232e-11;
6.9984204102e+03;2.5059818803e-11;
7.0794560547e+03;2.5426254852e-11;
7.1614345703e+03;2.5690120170e-11;
7.2443579102e+03;2.5911744972e-11;
7.3282456055e+03;2.6242666026e-11;
7.4131005859e+03;2.6630931835e-11;
7.4989418945e+03;2.7045140433e-11;
7.5857778320e+03;2.7388070978e-11;
7.6736147461e+03;2.7621613330e-11;
7.7624731445e+03;2.7677533876e-11;
7.8523559570e+03;2.7805018704e-11;
7.9432841797e+03;2.8131439886e-11;
8.0352607422e+03;2.8476589142e-11;
8.1283066406e+03;2.8732613511e-11;
8.2224257812e+03;2.9029273776e-11;
8.3176396484e+03;2.9330884943e-11;
8.4139501953e+03;2.9551645853e-11;
8.5113818359e+03;2.9786645372e-11;
8.6099365234e+03;3.0129863882e-11;
8.7096367188e+03;3.0464738371e-11;
8.8104873047e+03;3.0633738601e-11;
8.9125107422e+03;3.0703509180e-11;
9.0157099609e+03;3.0962878095e-11;
9.1201093750e+03;3.1367880515e-11;
9.2257128906e+03;3.1747611484e-11;
9.3325439453e+03;3.2363764446e-11;
9.4406064453e+03;3.3422483531e-11;
9.5499267578e+03;3.4326212012e-11;
9.6605068359e+03;3.5243596236e-11;
9.7723720703e+03;3.6180072827e-11;
9.8855283203e+03;3.6611668558e-11;
1.0000000000e+04;3.5663548503e-11;
1.0115796875e+04;3.5943834714e-11;
1.0232935547e+04;3.6196504127e-11;
1.0351418945e+04;3.6422625332e-11;
1.0471285156e+04;3.6644565854e-11;
1.0592540039e+04;3.6870815429e-11;
1.0715198242e+04;3.7135097081e-11;
1.0839265625e+04;3.7438826345e-11;
1.0964781250e+04;3.7790902352e-11;
1.1091750000e+04;3.8223851168e-11;
1.1220189453e+04;3.8692379162e-11;
1.1350103516e+04;3.9214024389e-11;
1.1481535156e+04;3.9755358727e-11;
1.1614487305e+04;4.0309783289e-11;
1.1748980469e+04;4.0866653811e-11;
1.1885016602e+04;4.1420245706e-11;
1.2022642578e+04;4.1971988385e-11;
1.2161861328e+04;4.2514269882e-11;
1.2302692383e+04;4.3060343485e-11;
1.2445139648e+04;4.3613137407e-11;
1.2589250977e+04;4.4177158459e-11;
1.2735031250e+04;4.4720768755e-11;
1.2882499023e+04;4.5216476396e-11;
1.3031661133e+04;4.5645202895e-11;
1.3182563477e+04;4.5950777905e-11;
1.3335213867e+04;4.6232198625e-11;
1.3489632812e+04;4.6556734162e-11;
1.3645838867e+04;4.6978976265e-11;
1.3803838867e+04;4.7579259976e-11;
1.3963682617e+04;4.8249314266e-11;
1.4125378906e+04;4.8895564680e-11;
1.4288946289e+04;4.9466701568e-11;
1.4454392578e+04;4.9936825508e-11;
1.4621770508e+04;5.0350067865e-11;
1.4791086914e+04;5.0828639908e-11;
1.4962363281e+04;5.1454382421e-11;
1.5135606445e+04;5.2289065439e-11;
1.5310873047e+04;5.3354830970e-11;
1.5488167969e+04;5.4605743538e-11;
1.5667516602e+04;5.5902924651e-11;
1.5848924805e+04;5.7012790322e-11;
1.6032451172e+04;5.7833286771e-11;
1.6218102539e+04;5.8366707301e-11;
1.6405904297e+04;5.8669069603e-11;
1.6595861328e+04;5.8829038863e-11;
1.6788037109e+04;5.8969627792e-11;
1.6982437500e+04;5.9235685801e-11;
1.7179089844e+04;5.9735258406e-11;
1.7378000000e+04;6.0470448093e-11;
1.7579232422e+04;6.1343534419e-11;
1.7782794922e+04;6.2174654314e-11;
1.7988714844e+04;6.3037797204e-11;
1.8197017578e+04;6.3786448345e-11;
1.8407714844e+04;6.4401574351e-11;
1.8620871094e+04;6.4870810113e-11;
1.8836494141e+04;6.5583309616e-11;
1.9054617188e+04;6.6619619543e-11;
1.9275242188e+04;6.7871708254e-11;
1.9498443359e+04;6.9219345533e-11;
1.9724230469e+04;7.0507065464e-11;
1.9952632812e+04;7.1618974640e-11;
2.0183656250e+04;7.2511247007e-11;
2.0417376953e+04;7.3184222571e-11;
2.0653804688e+04;7.3418264523e-11;
2.0892968750e+04;7.3588787841e-11;
2.1134880859e+04;7.4211040091e-11;
2.1379617188e+04;7.5047724979e-11;
2.1627187500e+04;7.5971708091e-11;
2.1877623047e+04;7.6938476423e-11;
2.2130935547e+04;7.8089097688e-11;
2.2387207031e+04;7.9299504463e-11;
2.2646443359e+04;8.0413620207e-11;
2.2908683594e+04;8.0930720459e-11;
2.3173933594e+04;8.0727577401e-11;
2.3442281250e+04;8.0685215453e-11;
2.3713736328e+04;8.0343107167e-11;
2.3988335938e+04;8.0686464454e-11;
2.4266113281e+04;8.2091548836e-11;
2.4547082031e+04;8.4823800761e-11;
2.4831330078e+04;8.7434483265e-11;
2.5118869141e+04;8.8480840710e-11;
2.5409740234e+04;8.8405296972e-11;
2.5703949219e+04;8.8115549579e-11;
2.6001593750e+04;8.8367646534e-11;
2.6302683594e+04;8.9543858439e-11;
2.6607261719e+04;9.1379390166e-11;
2.6915337891e+04;9.3570998172e-11;
2.7227009766e+04;9.5673670375e-11;
2.7542291016e+04;9.7856146797e-11;
2.7861222656e+04;1.0016525109e-10;
2.8183816406e+04;1.0163801051e-10;
2.8510177734e+04;1.0219965152e-10;
2.8840318359e+04;1.0269141787e-10;
2.9174281250e+04;1.0330786226e-10;
2.9512078125e+04;1.0403349709e-10;
2.9853820312e+04;1.0508795917e-10;
3.0199517578e+04;1.0725989541e-10;
3.0549220703e+04;1.0853089261e-10;
3.0902937500e+04;1.0992817073e-10;
3.1260785156e+04;1.1135162931e-10;
3.1622777344e+04;1.1283154966e-10;
3.1988958984e+04;1.1428381852e-10;
3.2359382812e+04;1.1564985081e-10;
3.2734058594e+04;1.1688543189e-10;
3.3113109375e+04;1.1797658683e-10;
3.3496550781e+04;1.1889478291e-10;
3.3884433594e+04;1.1973819158e-10;
3.4276765625e+04;1.2055434429e-10;
3.4673683594e+04;1.2142979677e-10;
3.5075195312e+04;1.2251198667e-10;
3.5481355469e+04;1.2381883019e-10;
3.5892179688e+04;1.2533075966e-10;
3.6307800781e+04;1.2710596464e-10;
3.6728234375e+04;1.2894355028e-10;
3.7153539062e+04;1.3081646877e-10;
3.7583722656e+04;1.3266820975e-10;
3.8018933594e+04;1.3452801373e-10;
3.8459179688e+04;1.3647917518e-10;
3.8904527344e+04;1.3849485447e-10;
3.9354988281e+04;1.4055402675e-10;
3.9810707031e+04;1.4232998113e-10;
4.0271707031e+04;1.4367146361e-10;
4.0738039062e+04;1.4454246133e-10;
4.1209730469e+04;1.4432378903e-10;
4.1686925781e+04;1.4281822946e-10;
4.2169648438e+04;1.3998617543e-10;
4.2657964844e+04;1.3519002584e-10;
4.3151929688e+04;1.2899990798e-10;
4.3651570312e+04;1.2418208128e-10;
4.4157042969e+04;1.2191940513e-10;
4.4668367188e+04;1.2585336939e-10;
4.5185617188e+04;1.3416322220e-10;
4.5708804688e+04;1.4355824862e-10;
4.6238097656e+04;1.5230591788e-10;
4.6773523438e+04;1.5858826752e-10;
4.7315148438e+04;1.6200142616e-10;
4.7862992188e+04;1.6422463389e-10;
4.8417230469e+04;1.6582725471e-10;
4.8977886719e+04;1.6729188868e-10;
4.9545039062e+04;1.6894002863e-10;
5.0118703125e+04;1.7096275784e-10;
5.0699062500e+04;1.7332396629e-10;
5.1286144531e+04;1.7590601198e-10;
5.1880023438e+04;1.7856513490e-10;
5.2480718750e+04;1.8113194278e-10;
5.3088433594e+04;1.8347419417e-10;
5.3703183594e+04;1.8557778925e-10;
5.4325050781e+04;1.8758662679e-10;
5.4954058594e+04;1.8971528515e-10;
5.5590410156e+04;1.9208624968e-10;
5.6234132812e+04;1.9460648371e-10;
5.6885308594e+04;1.9707883936e-10;
5.7544023438e+04;1.9938284357e-10;
5.8210304688e+04;2.0155173364e-10;
5.8884363281e+04;2.0370596876e-10;
5.9566226562e+04;2.0588571126e-10;
6.0255988281e+04;2.0808262058e-10;
6.0953667969e+04;2.1018153884e-10;
6.1659496094e+04;2.1227902769e-10;
6.2373496094e+04;2.1466219080e-10;
6.3095761719e+04;2.1748530754e-10;
6.3826324219e+04;2.2047041970e-10;
6.4565414062e+04;2.2309296077e-10;
6.5313062500e+04;2.2511947861e-10;
6.6069367188e+04;2.2692833723e-10;
6.6834359375e+04;2.2960879031e-10;
6.7608289062e+04;2.3422030981e-10;
6.8391171875e+04;2.3879878630e-10;
6.9183125000e+04;2.4285967681e-10;
6.9984164062e+04;2.4590640635e-10;
7.0794562500e+04;2.4819060696e-10;
7.1614343750e+04;2.4998547676e-10;
7.2443617188e+04;2.5152008254e-10;
7.3282414062e+04;2.5298854678e-10;
7.4131007812e+04;2.5446336704e-10;
7.4989421875e+04;2.5681431981e-10;
7.5857781250e+04;2.6135857367e-10;
7.6736187500e+04;2.6616342463e-10;
7.7624687500e+04;2.7119329005e-10;
7.8523562500e+04;2.7562979676e-10;
7.9432843750e+04;2.7935101454e-10;
8.0352648438e+04;2.8096866500e-10;
8.1283023438e+04;2.8007085540e-10;
8.2224257812e+04;2.8076083125e-10;
8.3176390625e+04;2.8364766091e-10;
8.4139554688e+04;2.8939850516e-10;
8.5113773438e+04;2.9481825314e-10;
8.6099367188e+04;2.9829044790e-10;
8.7096367188e+04;3.0036584331e-10;
8.8104921875e+04;3.0273078488e-10;
8.9125054688e+04;3.0602692602e-10;
9.0157101562e+04;3.0963964726e-10;
9.1201093750e+04;3.1287494817e-10;
9.2257171875e+04;3.1550251300e-10;
9.3325382812e+04;3.1880817430e-10;
9.4406070312e+04;3.2518512882e-10;
9.5499265625e+04;3.3160146851e-10;
9.6605117188e+04;3.3568559044e-10;
9.7723671875e+04;3.3753869144e-10;
9.8855281250e+04;3.3930327992e-10;
1.0000000000e+05;3.4364183721e-10;
1.0115796875e+05;3.4720912256e-10;
1.0232935156e+05;3.5094294137e-10;
1.0351418750e+05;3.5483999072e-10;
1.0471285156e+05;3.5878697235e-10;
1.0592539844e+05;3.6275360493e-10;
1.0715198438e+05;3.6655029012e-10;
1.0839265625e+05;3.7039568634e-10;
1.0964781250e+05;3.7429290223e-10;
1.1091750000e+05;3.7885705684e-10;
1.1220189844e+05;3.8388173196e-10;
1.1350103906e+05;3.8987735262e-10;
1.1481534375e+05;3.9635589255e-10;
1.1614487500e+05;4.0304695692e-10;
1.1748980469e+05;4.0925787759e-10;
1.1885017188e+05;4.1463837919e-10;
1.2022642188e+05;4.1937209261e-10;
1.2161860938e+05;4.2320527638e-10;
1.2302692188e+05;4.2717057669e-10;
1.2445139844e+05;4.3149078754e-10;
1.2589251562e+05;4.3671935512e-10;
1.2735031250e+05;4.4282297273e-10;
1.2882499219e+05;4.4911294128e-10;
1.3031660938e+05;4.5531478587e-10;
1.3182564062e+05;4.6044565383e-10;
1.3335214062e+05;4.6462517167e-10;
1.3489632812e+05;4.6822690170e-10;
1.3645839062e+05;4.7154524729e-10;
1.3803839062e+05;4.7525799962e-10;
1.3963682812e+05;4.7963932825e-10;
1.4125378125e+05;4.8448645096e-10;
1.4288946875e+05;4.8962234267e-10;
1.4454392188e+05;4.9481424513e-10;
1.4621770312e+05;4.9986798034e-10;
1.4791085938e+05;5.0502874105e-10;
1.4962362500e+05;5.1074505736e-10;
1.5135606250e+05;5.1740811635e-10;
1.5310871875e+05;5.2515869431e-10;
1.5488168750e+05;5.3366255859e-10;
1.5667517188e+05;5.4203141975e-10;
1.5848925000e+05;5.4913634751e-10;
1.6032451562e+05;5.5512450192e-10;
1.6218103125e+05;5.6077026356e-10;
1.6405903125e+05;5.6675764082e-10;
1.6595860938e+05;5.7309523793e-10;
1.6788035938e+05;5.7908006168e-10;
1.6982437500e+05;5.8390359214e-10;
1.7179089062e+05;5.8744675790e-10;
1.7377998438e+05;5.9048860246e-10;
1.7579231250e+05;5.9413762798e-10;
1.7782793750e+05;5.9953270126e-10;
1.7988714062e+05;6.0570320981e-10;
1.8197018750e+05;6.1374388904e-10;
1.8407714062e+05;6.2301547255e-10;
1.8620870312e+05;6.3210853218e-10;
1.8836495312e+05;6.3871036238e-10;
1.9054615625e+05;6.4690142132e-10;
1.9275242188e+05;6.5931093918e-10;
1.9498443750e+05;6.7585631536e-10;
1.9724231250e+05;6.9311906215e-10;
1.9952631250e+05;7.0660433060e-10;
2.0183656250e+05;7.1409167468e-10;
2.0417376562e+05;7.1707567662e-10;
2.0653804688e+05;7.1680095193e-10;
2.0892970312e+05;7.1987932282e-10;
2.1134881250e+05;7.2558314912e-10;
2.1379617188e+05;7.3047351501e-10;
2.1627187500e+05;7.3481570828e-10;
2.1877623438e+05;7.3897354902e-10;
2.2130935938e+05;7.4644801451e-10;
2.2387206250e+05;7.5585648851e-10;
2.2646443750e+05;7.6575251695e-10;
2.2908682812e+05;7.7639755736e-10;
2.3173934375e+05;7.8699102790e-10;
2.3442281250e+05;7.9833617495e-10;
2.3713737500e+05;8.1614426328e-10;
2.3988335938e+05;8.3625623093e-10;
2.4266114062e+05;8.4971546466e-10;
2.4547081250e+05;8.5653456550e-10;
2.4831329688e+05;8.5623647061e-10;
2.5118870312e+05;8.5247497950e-10;
2.5409739062e+05;8.5230084101e-10;
2.5703948438e+05;8.5868429034e-10;
2.6001593750e+05;8.6431328761e-10;
2.6302684375e+05;8.6670132182e-10;
2.6607262500e+05;8.7599466569e-10;
2.6915337500e+05;8.9944901527e-10;
2.7227009375e+05;9.2435809007e-10;
2.7542290625e+05;9.4170737874e-10;
2.7861221875e+05;9.5611918383e-10;
2.8183815625e+05;9.7536057009e-10;
2.8510178125e+05;9.9922825569e-10;
2.8840318750e+05;1.0120105864e-09;
2.9174281250e+05;9.9939390097e-10;
2.9512078125e+05;9.9616548344e-10;
2.9853818750e+05;1.0121650185e-09;
3.0199518750e+05;1.0169728393e-09;
3.0549221875e+05;1.0247471760e-09;
3.0902937500e+05;1.0361240754e-09;
3.1260784375e+05;1.0489566993e-09;
3.1622778125e+05;1.0642373649e-09;
3.1988959375e+05;1.0803251627e-09;
3.2359381250e+05;1.0968740360e-09;
3.2734059375e+05;1.1117913257e-09;
3.3113109375e+05;1.1259171373e-09;
3.3496550000e+05;1.1387385479e-09;
3.3884431250e+05;1.1507896858e-09;
3.4276765625e+05;1.1627576679e-09;
3.4673681250e+05;1.1748758633e-09;
3.5075193750e+05;1.1869926153e-09;
3.5481353125e+05;1.1989841342e-09;
3.5892178125e+05;1.2102914226e-09;
3.6307800000e+05;1.2209917521e-09;
3.6728234375e+05;1.2315812814e-09;
3.7153537500e+05;1.2425054319e-09;
3.7583725000e+05;1.2551019113e-09;
3.8018934375e+05;1.2690294371e-09;
3.8459181250e+05;1.2843700548e-09;
3.8904528125e+05;1.2998476739e-09;
3.9354987500e+05;1.3131509213e-09;
3.9810709375e+05;1.3234480178e-09;
4.0271706250e+05;1.3295110568e-09;
4.0738040625e+05;1.3307817071e-09;
4.1209731250e+05;1.3320271552e-09;
4.1686928125e+05;1.3354113371e-09;
4.2169650000e+05;1.3429954926e-09;
4.2657962500e+05;1.3568342005e-09;
4.3151931250e+05;1.3741685567e-09;
4.3651568750e+05;1.3915576469e-09;
4.4157043750e+05;1.4071491750e-09;
4.4668368750e+05;1.4200389753e-09;
4.5185615625e+05;1.4308709773e-09;
4.5708803125e+05;1.4419755390e-09;
4.6238096875e+05;1.4552657968e-09;
4.6773521875e+05;1.4708863016e-09;
4.7315146875e+05;1.4879268928e-09;
4.7862990625e+05;1.5046213164e-09;
4.8417231250e+05;1.5189459690e-09;
4.8977887500e+05;1.5295360534e-09;
4.9545037500e+05;1.5363070816e-09;
5.0118700000e+05;1.5399413966e-09;
5.0699062500e+05;1.5406044218e-09;
5.1286143750e+05;1.5381621532e-09;
5.1880021875e+05;1.5350678506e-09;
5.2480718750e+05;1.5384254981e-09;
5.3088431250e+05;1.5546210985e-09;
5.3703181250e+05;1.5823466981e-09;
5.4325050000e+05;1.6097163602e-09;
5.4954056250e+05;1.6220110810e-09;
5.5590412500e+05;1.6123253843e-09;
5.6234131250e+05;1.5937375863e-09;
5.6885306250e+05;1.5916495899e-09;
5.7544025000e+05;1.6045109685e-09;
5.8210306250e+05;1.6109169554e-09;
5.8884362500e+05;1.6252645896e-09;
5.9566225000e+05;1.6699532868e-09;
6.0255987500e+05;1.6998831232e-09;
6.0953668750e+05;1.7188594992e-09;
6.1659493750e+05;1.7334927938e-09;
6.2373493750e+05;1.7485788373e-09;
